timestep,r_perf,r_cost,r_energy,latency,replicas,avg_cpu_percent,ram_usage,num_requests,total_cpu_m,total_ram_mi,success_ratio,pod_power,hpa_target,masterk8s_cpu,masterk8s_mem,worker11_cpu,worker11_mem,worker12_cpu,worker12_mem,worker13_cpu,worker13_mem,worker14_cpu,worker14_mem
42,-0.24000004,-0.7,-1.0235796,0.0248,14.0,39.3,0.0,99.0,1572.0,353.0,1.0,152.7824,30.0,83,16,8,10,10,10,9,9,8,12
43,-0.33499998,-0.7,-1.0284836,0.0267,14.0,44.028572,0.0,127.0,1541.0,310.0,1.0,153.36107,10.0,82,16,9,10,9,10,10,9,8,12
44,-0.36,-0.7,-1.0690978,0.0272,14.0,47.942856,0.0,139.0,1678.0,310.0,1.0,158.15353,50.0,84,16,12,10,10,10,10,9,9,12
45,-0.39499995,-0.7,-1.1113158,0.0279,14.0,44.942856,0.0,130.0,1573.0,309.0,1.0,163.13527,70.0,80,16,9,10,10,10,10,9,9,12
46,-0.325,-0.7,-1.0490232,0.0265,14.0,45.6,0.0,133.0,1596.0,309.0,1.0,155.78473,30.0,82,16,9,10,9,10,9,10,8,12
47,-0.36,-0.7,-1.0469689,0.0272,14.0,46.45714,0.0,123.0,1626.0,309.0,1.0,155.54233,10.0,83,15,12,10,10,10,9,10,8,12
48,-0.325,-0.7,-1.0297762,0.0265,14.0,45.17143,0.0,127.0,1581.0,310.0,1.0,153.5136,70.0,81,16,8,10,10,10,10,10,8,12
49,-0.35000002,-0.7,-1.0414779,0.027,14.0,44.914288,0.0,132.0,1572.0,313.0,1.0,154.8944,90.0,81,16,8,10,10,10,10,10,8,12
50,-0.38499996,-0.7,-1.0622232,0.0277,14.0,46.2,0.0,130.0,1617.0,311.0,1.0,157.34233,90.0,80,16,12,10,10,10,10,10,9,12
51,-0.38999996,-0.7,-1.0792068,0.0278,14.0,47.114285,0.0,146.0,1649.0,312.0,1.0,159.3464,90.0,81,16,11,10,11,10,11,10,8,12
52,-0.40500003,-0.7,-1.0667423,0.0281,14.0,44.2,0.0,141.0,1547.0,312.0,1.0,157.8756,30.0,80,16,9,10,9,10,8,10,8,12
53,-0.42000002,-0.7,-1.1243373,0.0284,14.0,49.485714,0.0,131.0,1732.0,311.0,1.0,164.6718,90.0,79,16,14,10,11,10,11,10,9,12
54,-0.43999997,-0.7,-1.1369678,0.0288,14.0,48.514286,0.0,131.0,1698.0,311.0,1.0,166.1622,30.0,80,16,9,10,11,10,14,10,9,12
55,-0.40500003,-0.7,-1.1056463,0.0281,14.0,47.771427,0.0,132.0,1672.0,311.0,1.0,162.46626,70.0,79,16,10,10,9,10,9,10,8,12
56,-0.43999997,-0.7,-1.1416041,0.0288,14.0,50.314285,0.0,147.0,1761.0,312.0,1.0,166.70927,90.0,79,16,13,10,11,10,11,10,9,12
57,-0.42000002,-0.7,-1.1242582,0.0284,14.0,49.2,0.0,166.0,1722.0,313.0,1.0,164.66246,70.0,79,16,10,10,12,10,13,10,9,12
58,-0.39499995,-0.7,-1.1237531,0.0279,14.0,47.54286,0.0,141.0,1664.0,312.0,1.0,164.60286,50.0,80,16,8,10,10,10,9,10,8,12
59,-0.42999998,-0.7,-1.1128943,0.0286,14.0,48.485714,0.0,159.0,1697.0,313.0,1.0,163.32153,70.0,79,16,13,10,11,10,10,10,10,12
60,-0.40500003,-0.7,-1.125789,0.0281,14.0,48.057144,0.0,160.0,1682.0,312.0,1.0,164.84311,10.0,80,16,10,10,9,10,12,10,9,12
61,-0.41500002,-0.7,-1.1205198,0.0283,14.0,48.2,0.0,164.0,1687.0,311.0,1.0,164.22133,30.0,81,16,9,10,9,10,9,10,8,12
62,-0.42000002,-0.7,-1.130692,0.0284,14.0,50.6,0.0,138.0,1771.0,314.0,1.0,165.42166,50.0,79,16,13,10,13,10,10,10,10,12
63,-0.425,-0.7,-1.1258447,0.0285,14.0,49.657143,0.0,150.0,1738.0,312.0,1.0,164.84967,10.0,83,16,10,10,10,10,14,10,9,12
64,-0.41500002,-0.7,-1.1051159,0.0283,14.0,48.62857,0.0,138.0,1702.0,314.0,1.0,162.40367,10.0,81,16,9,10,9,10,9,10,8,12
65,-0.39499995,-0.7,-1.0973215,0.0279,14.0,49.54286,0.0,145.0,1734.0,312.0,1.0,161.48393,90.0,74,15,13,10,15,10,10,10,11,12
66,-0.39499995,-0.7,-1.0941153,0.0279,14.0,48.142857,0.0,131.0,1685.0,314.0,1.0,161.1056,30.0,78,15,11,10,11,10,14,10,10,12
67,-0.425,-0.7,-1.1193666,0.0285,14.0,51.885715,0.0,128.0,1816.0,315.0,1.0,164.08527,90.0,78,15,12,10,12,10,11,10,8,12
68,-0.43499997,-0.7,-1.1241678,0.0287,14.0,48.6,0.0,149.0,1701.0,313.0,1.0,164.6518,10.0,79,16,9,10,11,10,10,10,9,12
69,-0.42000002,-0.7,-1.1092283,0.0284,14.0,49.028572,0.0,128.0,1716.0,317.0,1.0,162.88893,30.0,81,16,10,10,10,10,10,9,9,12
70,-0.42000002,-0.7,-1.1097424,0.0284,14.0,51.085712,0.0,130.0,1788.0,318.0,1.0,162.9496,90.0,80,16,13,10,11,10,11,10,9,12
71,-0.42000002,-0.7,-1.1300718,0.0284,14.0,50.885715,0.0,126.0,1781.0,318.0,1.0,165.34846,70.0,79,16,10,10,11,10,11,10,9,12
72,-0.42999998,-0.7,-1.1218593,0.0286,14.0,53.37143,0.0,123.0,1868.0,315.0,1.0,164.3794,70.0,79,16,10,10,11,10,11,10,9,12
73,-0.42999998,-0.7,-1.1167622,0.0286,14.0,49.0,0.0,123.0,1715.0,316.0,1.0,163.77794,30.0,79,16,14,10,11,10,11,10,9,12
74,-0.42000002,-0.7,-1.110309,0.0284,14.0,51.82857,0.0,125.0,1814.0,315.0,1.0,163.01646,10.0,79,16,10,10,11,10,11,10,9,12
75,-0.40500003,-0.7,-1.1023955,0.0281,14.0,51.2,0.0,133.0,1792.0,317.0,1.0,162.08267,10.0,79,16,11,10,10,10,11,10,8,12
76,-0.42000002,-0.7,-1.1284136,0.0284,14.0,50.54286,0.0,135.0,1769.0,316.0,1.0,165.1528,30.0,80,16,16,10,11,10,11,10,9,12
77,-0.44499996,-0.7,-1.1245757,0.0289,14.0,49.6,0.0,136.0,1736.0,317.0,1.0,164.69994,70.0,78,16,10,10,12,10,12,10,9,12
78,-0.42000002,-0.7,-1.111651,0.0284,14.0,53.2,0.0,131.0,1862.0,318.0,1.0,163.1748,50.0,79,16,11,10,11,10,11,10,8,12
79,-0.40500003,-0.7,-1.1344526,0.0281,14.0,50.82857,0.0,140.0,1779.0,317.0,1.0,165.8654,90.0,80,16,12,10,12,10,11,10,9,12
80,-0.43499997,-0.7,-1.1068933,0.0287,14.0,48.37143,0.0,123.0,1693.0,317.0,1.0,162.6134,10.0,79,16,10,10,11,10,11,10,9,12
81,-0.44999996,-0.7,-1.1305385,0.029,14.0,46.971428,0.0,83.0,1644.0,317.0,1.0,165.40353,30.0,79,16,10,10,11,10,11,10,9,12
82,-0.41000003,-0.7,-1.115556,0.0282,14.0,47.857143,0.0,59.0,1675.0,319.0,1.0,163.6356,70.0,80,16,14,10,11,10,10,10,9,12
83,-0.42000002,-0.7,-1.1112677,0.0284,14.0,48.657143,0.0,135.0,1703.0,319.0,1.0,163.1296,30.0,82,16,9,10,12,10,11,10,9,12
84,-0.43499997,-0.7,-1.1215452,0.0287,14.0,47.085712,0.0,128.0,1648.0,319.0,1.0,164.34233,30.0,79,16,9,10,10,10,12,10,8,12
85,-0.42000002,-0.7,-1.1070662,0.0284,14.0,46.25714,0.0,128.0,1619.0,319.0,1.0,162.6338,70.0,85,15,12,10,11,10,10,10,9,12
86,-0.425,-0.7,-1.1026746,0.0285,14.0,47.42857,0.0,140.0,1660.0,318.0,1.0,162.1156,90.0,83,15,9,10,11,10,11,10,9,12
87,-0.41000003,-0.7,-1.1092968,0.0282,14.0,47.771427,0.0,125.0,1672.0,318.0,1.0,162.89702,10.0,79,15,8,10,9,10,11,10,8,12
88,-0.425,-0.7,-1.1158221,0.0285,14.0,46.0,0.0,133.0,1610.0,319.0,1.0,163.667,90.0,84,15,12,10,10,10,10,10,9,12
89,-0.42999998,-0.7,-1.0832561,0.0286,14.0,46.17143,0.0,128.0,1616.0,319.0,1.0,159.82422,10.0,84,15,10,10,11,10,10,10,9,12
90,-0.42999998,-0.7,-1.1053045,0.0286,14.0,46.54286,0.0,138.0,1629.0,318.0,1.0,162.42593,10.0,77,15,9,10,11,10,10,10,9,12
91,-0.425,-0.7,-1.0857626,0.0285,14.0,45.8,0.0,155.0,1603.0,319.0,1.0,160.12,70.0,81,15,13,10,11,10,10,10,9,12
92,-0.39499995,-0.7,-1.0881329,0.0279,14.0,50.4,0.0,207.0,1764.0,319.0,1.0,160.39967,90.0,85,15,9,10,11,10,10,10,8,12
93,-0.425,-0.7,-1.0777283,0.0285,14.0,50.2,0.0,255.0,1757.0,320.0,1.0,159.17194,10.0,82,16,9,10,10,10,10,10,8,12
94,-0.425,-0.7,-1.0927384,0.0285,14.0,48.45714,0.0,262.0,1696.0,320.0,1.0,160.94313,90.0,77,16,12,10,11,10,9,10,9,12
95,-0.38999996,-0.7,-1.0628011,0.0278,14.0,48.142857,0.0,207.0,1685.0,318.0,1.0,157.41054,90.0,85,16,10,10,11,10,10,10,8,12
96,-0.43499997,-0.7,-1.094826,0.0287,14.0,46.942856,0.0,142.0,1643.0,322.0,1.0,161.18947,10.0,83,16,9,10,10,10,10,10,8,12
97,-0.41500002,-0.7,-1.0998718,0.0283,14.0,48.028572,0.0,65.0,1681.0,320.0,1.0,161.78487,10.0,76,16,14,10,10,10,10,10,9,12
98,1.0,-0.7,-1.1054016,0.0122,14.0,46.82857,0.0,20.0,1639.0,318.0,1.0,162.4374,30.0,78,16,10,10,10,10,12,10,9,12
99,1.0,-0.7,-1.0717841,0.0126,14.0,45.54286,0.0,21.0,1594.0,318.0,1.0,158.47054,90.0,81,16,9,10,10,10,9,10,8,12
100,-0.40000004,-0.7,-1.120039,0.028,14.0,46.514286,0.0,65.0,1628.0,318.0,1.0,164.1646,50.0,82,16,10,10,12,10,10,9,10,12
101,-0.42999998,-0.7,-1.117897,0.0286,14.0,46.714287,0.0,54.0,1635.0,319.0,1.0,163.91185,30.0,82,16,9,10,9,10,10,10,7,12
102,-0.43499997,-0.7,-1.1320237,0.0287,14.0,47.0,0.0,103.0,1645.0,320.0,1.0,165.5788,50.0,81,16,10,10,9,10,11,10,8,12
103,-0.41000003,-0.7,-1.1059322,0.0282,14.0,46.0,0.0,114.0,1610.0,319.0,1.0,162.5,10.0,81,16,10,10,13,10,10,10,9,12
104,-0.40000004,-0.7,-1.1233882,0.028,14.0,47.62857,0.0,118.0,1667.0,320.0,1.0,164.5598,70.0,81,16,10,10,9,10,11,10,8,12
105,-0.43499997,-0.7,-1.1268587,0.0287,14.0,45.314285,0.0,109.0,1586.0,320.0,1.0,164.96933,30.0,81,16,11,10,9,10,10,10,8,12
106,1.0,-0.7,-1.1134338,0.01,14.0,46.228573,0.0,16.0,1618.0,319.0,1.0,163.3852,70.0,73,15,11,10,13,10,10,10,9,12
107,-0.42000002,-0.7,-1.122952,0.0284,14.0,48.514286,0.0,121.0,1698.0,320.0,1.0,164.50833,10.0,83,16,10,10,10,10,10,10,8,12
108,-0.42000002,-0.7,-1.1319723,0.0284,14.0,48.228573,0.0,84.0,1688.0,321.0,1.0,165.57274,10.0,80,16,11,10,11,10,10,10,9,12
109,-0.43999997,-0.7,-1.136574,0.0288,14.0,45.657143,0.0,82.0,1598.0,320.0,1.0,166.11574,50.0,76,15,11,10,12,10,10,10,10,12
110,1.0,-0.7,-1.1486154,0.0062,14.0,47.771427,0.0,8.0,1672.0,319.0,1.0,167.5366,30.0,41,15,10,10,10,10,11,9,7,12
111,1.0,-0.7,-1.1137457,0.0133,14.0,45.6,0.0,22.0,1596.0,320.0,1.0,163.422,90.0,79,15,12,10,11,10,11,10,8,12
112,1.0,-0.7,-1.1176407,0.0085,14.0,46.25714,0.0,13.0,1619.0,320.0,1.0,163.8816,70.0,58,15,11,10,10,10,11,9,9,12
113,1.0,-0.7,-1.1131452,0.0121,14.0,47.4,0.0,20.0,1659.0,319.0,1.0,163.35114,10.0,76,15,11,10,10,10,11,10,8,12
114,-0.40000004,-0.7,-1.1222565,0.028,14.0,48.25714,0.0,70.0,1689.0,321.0,1.0,164.42627,50.0,84,15,10,10,11,10,10,10,9,12
115,1.0,-0.7,-1.1221983,0.0175,14.0,49.714287,0.0,30.0,1740.0,321.0,1.0,164.4194,50.0,75,15,11,10,11,10,11,10,9,12
116,-0.13000004,-0.7,-1.1323029,0.0226,14.0,49.657143,0.0,39.0,1738.0,319.0,1.0,165.61174,90.0,76,15,10,10,11,10,11,9,9,12
117,-0.425,-0.7,-1.1394548,0.0285,14.0,49.74286,0.0,74.0,1741.0,321.0,1.0,166.45567,50.0,84,15,11,10,12,10,10,9,9,12
118,-0.44999996,-0.7,-1.1462001,0.029,14.0,49.2,0.0,59.0,1722.0,320.0,1.0,167.2516,10.0,81,15,11,10,11,10,11,9,9,12
119,-0.42000002,-0.7,-1.1273214,0.0284,14.0,47.285713,0.0,136.0,1655.0,320.0,1.0,165.02393,10.0,75,16,11,10,11,10,11,9,9,12
120,-0.38499996,-0.7,-1.0928683,0.0277,14.0,49.74286,0.0,109.0,1741.0,321.0,1.0,160.95847,10.0,83,16,13,10,11,10,9,10,9,12
121,-0.39499995,-0.7,-1.1184825,0.0279,14.0,48.514286,0.0,56.0,1698.0,322.0,1.0,163.98093,70.0,83,16,9,10,11,10,12,10,10,12
122,-0.44999996,-0.7,-1.152748,0.029,14.0,53.54286,0.0,74.0,1874.0,321.0,1.0,168.02426,70.0,73,16,12,10,12,10,12,10,9,12
123,-0.41000003,-0.7,-1.1141554,0.0282,14.0,51.657143,0.0,57.0,1808.0,321.0,1.0,163.47034,30.0,78,16,15,10,12,10,11,10,9,12
124,-0.38499996,-0.7,-1.0601169,0.0277,14.0,48.4,0.0,99.0,1694.0,321.0,1.0,157.0938,70.0,83,16,10,10,11,10,10,10,9,12
125,-0.42000002,-0.7,-1.1006728,0.0284,14.0,49.0,0.0,59.0,1715.0,322.0,1.0,161.8794,70.0,76,15,11,10,11,10,11,9,8,12
126,-0.38999996,-0.7,-1.0760893,0.0278,14.0,49.82857,0.0,59.0,1744.0,322.0,1.0,158.97853,30.0,75,15,15,10,11,10,11,10,9,12
127,-0.14500001,-0.7,-1.0933293,0.0229,14.0,48.514286,0.0,40.0,1698.0,322.0,1.0,161.01286,10.0,80,15,10,10,12,10,11,10,9,12
128,-0.40000004,-0.7,-1.0900881,0.028,14.0,49.885715,0.0,52.0,1746.0,321.0,1.0,160.6304,90.0,79,15,11,10,11,10,11,10,8,12
129,-0.38999996,-0.7,-1.0669574,0.0278,14.0,43.714287,0.0,77.0,1530.0,321.0,1.0,157.90097,30.0,81,15,13,10,10,10,10,10,9,12
130,-0.41000003,-0.7,-1.0871983,0.0282,14.0,45.028572,0.0,82.0,1576.0,321.0,1.0,160.2894,10.0,82,15,8,10,11,10,11,10,9,12
131,-0.41500002,-0.7,-1.1030017,0.0283,14.0,47.314285,0.0,61.0,1656.0,321.0,1.0,162.1542,30.0,80,15,8,10,11,10,11,10,8,12
132,-0.38999996,-0.7,-1.0983729,0.0278,14.0,44.942856,0.0,49.0,1573.0,321.0,1.0,161.608,50.0,82,16,12,10,14,10,10,9,10,12
133,-0.425,-0.7,-1.1035085,0.0285,14.0,52.74286,0.0,103.0,1846.0,321.0,1.0,162.214,90.0,78,16,11,10,10,10,14,9,8,12
134,-0.40500003,-0.7,-1.0857311,0.0281,14.0,51.17143,0.0,75.0,1791.0,321.0,1.0,160.11627,70.0,73,16,13,10,10,10,9,10,10,12
135,-0.43999997,-0.7,-1.105748,0.0288,14.0,50.057144,0.0,100.0,1752.0,321.0,1.0,162.47827,10.0,80,16,11,10,15,10,11,10,11,12
136,-0.40000004,-0.7,-1.0975208,0.028,14.0,52.485714,0.0,115.0,1837.0,321.0,1.0,161.50746,10.0,81,15,12,10,11,10,14,10,8,12
137,-0.40000004,-0.7,-1.0833716,0.028,14.0,48.028572,0.0,70.0,1681.0,321.0,1.0,159.83786,90.0,75,16,12,10,10,10,10,10,9,12
138,-0.42999998,-0.7,-1.1196362,0.0286,14.0,48.37143,0.0,56.0,1693.0,321.0,1.0,164.11707,30.0,77,15,12,10,14,10,11,10,10,12
139,-0.40500003,-0.7,-1.0865542,0.0281,14.0,46.914288,0.0,54.0,1642.0,323.0,1.0,160.2134,90.0,82,16,11,10,11,10,13,10,8,12
140,-0.425,-0.7,-1.0929916,0.0285,14.0,50.885715,0.0,144.0,1781.0,321.0,1.0,160.973,90.0,79,15,11,10,10,10,10,10,9,12
141,-0.42000002,-0.7,-1.0931276,0.0284,14.0,46.6,0.0,66.0,1631.0,322.0,1.0,160.98906,50.0,77,15,11,10,13,10,9,9,10,12
142,-0.45500004,-0.7,-1.1235791,0.0291,14.0,45.342857,0.0,139.0,1587.0,322.0,1.0,164.58234,70.0,86,16,10,10,10,10,13,9,7,12
143,-0.425,-0.7,-1.1010938,0.0285,14.0,49.25714,0.0,135.0,1724.0,321.0,1.0,161.92906,10.0,84,16,11,10,8,10,9,10,7,12
144,-0.425,-0.7,-1.0988351,0.0285,14.0,45.4,0.0,120.0,1589.0,322.0,1.0,161.66254,50.0,78,16,11,10,11,10,10,10,9,12
145,1.0,-0.7,-1.0973045,0.0066,14.0,44.714287,0.0,9.0,1565.0,321.0,1.0,161.48193,70.0,46,15,10,10,10,10,10,9,6,12
146,-0.40500003,-0.7,-1.09476,0.0281,14.0,43.514286,0.0,133.0,1523.0,321.0,1.0,161.18167,30.0,87,15,10,10,8,10,9,9,8,12
147,-0.42000002,-0.7,-1.0766661,0.0284,14.0,47.17143,0.0,134.0,1651.0,321.0,1.0,159.0466,50.0,80,15,11,10,11,10,10,9,9,12
148,1.0,-0.7,-1.1885052,0.0051,14.0,44.514286,0.0,4.0,1558.0,321.0,1.0,172.2436,70.0,18,15,9,10,10,10,10,9,8,12
149,-0.40000004,-0.7,-1.0628136,0.028,14.0,46.085712,0.0,124.0,1613.0,321.0,1.0,157.412,10.0,87,15,10,10,8,10,9,10,7,12
150,-0.44999996,-0.7,-1.1048136,0.029,14.0,47.142857,0.0,63.0,1650.0,321.0,1.0,162.368,90.0,81,15,11,10,11,10,10,10,10,12
151,-0.41500002,-0.7,-1.0983837,0.0283,14.0,45.914288,0.0,142.0,1607.0,321.0,1.0,161.60927,30.0,82,15,10,10,11,10,10,9,7,12
152,-0.375,-0.7,-1.0911808,0.0275,14.0,44.971428,0.0,48.0,1574.0,321.0,1.0,160.75934,50.0,83,15,11,10,9,10,10,9,7,12
153,-0.44499996,-0.7,-1.1152875,0.0289,14.0,49.37143,0.0,108.0,1728.0,321.0,1.0,163.60393,50.0,81,15,12,10,10,10,11,10,9,12
154,-0.40500003,-0.7,-1.0976864,0.0281,14.0,47.45714,0.0,56.0,1661.0,321.0,1.0,161.527,90.0,82,15,9,10,11,10,10,10,8,12
155,-0.40500003,-0.7,-1.1237231,0.0281,14.0,46.914288,0.0,83.0,1642.0,322.0,1.0,164.59933,30.0,82,15,11,11,11,10,10,9,7,12
156,1.0,-0.7,-1.1281933,0.0066,14.0,46.885715,0.0,9.0,1641.0,323.0,1.0,165.1268,10.0,44,15,10,11,10,10,10,9,10,12
157,1.0,-0.7,-1.1561983,0.0059,14.0,47.57143,0.0,7.0,1665.0,321.0,1.0,168.4314,50.0,34,15,10,10,10,10,11,10,7,12
158,1.0,-0.7,-1.2426695,0.0046,14.0,42.4,0.0,2.0,1484.0,322.0,1.0,178.635,10.0,7,15,10,10,10,10,10,10,7,12
159,1.0,-0.7,-1.0956609,0.0048,14.0,41.714287,0.0,4.0,1460.0,321.0,1.0,161.288,10.0,18,15,10,10,9,10,10,10,8,12
160,1.0,-0.7,-1.2262447,0.0048,14.0,45.228573,0.0,3.0,1583.0,322.0,1.0,176.69687,70.0,12,15,10,10,10,10,10,10,8,12
161,1.0,-0.7,-1.0930706,0.0077,14.0,47.085712,0.0,11.0,1648.0,321.0,1.0,160.98233,10.0,53,15,10,10,10,10,10,9,9,12
162,1.0,-0.7,-1.185517,0.0045,14.0,42.771427,0.0,3.0,1497.0,321.0,1.0,171.891,90.0,12,15,9,10,9,10,10,9,7,12
163,1.0,-0.7,-1.234261,0.005,14.0,46.857143,0.0,4.0,1640.0,321.0,1.0,177.6428,90.0,17,15,10,10,11,10,11,10,9,12
164,1.0,-0.7,-1.2333492,0.0051,14.0,50.74286,0.0,4.0,1776.0,321.0,1.0,177.5352,10.0,16,15,11,10,11,10,11,10,9,12
